Algorithms,.github/workflows/check.yml,8,mvn checkstyle:checkstyle,Algorithms_check-build-Check-java-checkstyle.csv,target/site/,{"maven-site-plugin": 1.0}
kafdrop,.github/workflows/pull_request.yml,17,mvn -B verify,kafdrop_pull_request-build.csv,target/docker-ready/,{"maven-resources-plugin": 0.336, "com.spotify#docker-maven-plugin": 0.332, "maven-site-plugin": 0.234, "maven-failsafe-plugin": 0.219, "pl.project13.maven#git-commit-id-plugin": 0.213}
kafdrop,.github/workflows/pull_request.yml,17,mvn -B verify,kafdrop_pull_request-build.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.262, "com.spotify#docker-maven-plugin": 0.234, "maven-failsafe-plugin": 0.219, "maven-resources-plugin": 0.219, "pl.project13.maven#git-commit-id-plugin": 0.213}
matsim-example-project,.github/workflows/maven.yml,11,mvn -B verify,matsim-example-project_maven-build.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.274}
mcMMO,.github/workflows/maven.yml,17,mvn verify -B,mcMMO_maven-compile.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.338, "maven-site-plugin": 0.262}
mooc-software-testing,.github/workflows/maven.yml,11,mvn -B package,mooc-software-testing_maven-build.csv,target/jacoco-ut/,{"org.jacoco#jacoco-maven-plugin": 0.867, "maven-site-plugin": 0.22}
mooc-software-testing,.github/workflows/maven.yml,11,mvn -B package,mooc-software-testing_maven-build.csv,target/site/,{"maven-site-plugin": 1.0, "org.jacoco#jacoco-maven-plugin": 0.559}
mooc-software-testing,.github/workflows/maven.yml,11,mvn -B package,mooc-software-testing_maven-build.csv,target/surefire-reports/,{"org.jacoco#jacoco-maven-plugin": 0.559, "maven-surefire-plugin": 0.304, "maven-site-plugin": 0.262}
open-location-code,.github/workflows/main.yml,11,mvn package,open-location-code_main-testjava_java_11.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.306}
open-location-code,.github/workflows/main.yml,16,mvn package,open-location-code_main-testjava_java_16.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.306}
open-location-code,.github/workflows/main.yml,17,mvn package,open-location-code_main-testjava_java_17.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.306}
open-location-code,.github/workflows/main.yml,8,mvn package,open-location-code_main-testjava_java_8.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.306}
pipelines-java,.github/workflows/codeql-analysis.yml,11,mvn clean package -B -V -e -Dfindbugs.skip -Dcheckstyle.skip -Dpmd.skip=true -Dspotbugs.skip -Denforcer.skip -Dmaven.javadoc.skip -DskipTests -Dmaven.test.skip.exec -Dlicense.skip=true -Drat.skip=true -Dspotless.check.skip=true ,pipelines-java_codeql-analysis-analyze_language_java.csv,target/test-classes/,{"org.jacoco#jacoco-maven-plugin": 0.65, "maven-surefire-plugin": 0.536, "maven-compiler-plugin": 0.511, "maven-resources-plugin": 0.411, "maven-site-plugin": 0.227}
socket.io-client-java,.github/workflows/ci.yml,11,mvn verify -Dgpg.skip=true,socket.io-client-java_ci-verify_java_11.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.342, "maven-site-plugin": 0.262}
socket.io-client-java,.github/workflows/ci.yml,7,mvn verify -Dgpg.skip=true,socket.io-client-java_ci-verify_java_7.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.342, "maven-site-plugin": 0.262}
socket.io-client-java,.github/workflows/ci.yml,8,mvn verify -Dgpg.skip=true,socket.io-client-java_ci-verify_java_8.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.342, "maven-site-plugin": 0.262}
soot,.github/workflows/ci.yml,11,mvn -B clean test -PJava11,soot_ci-BuildAndTest_java_version_11.csv,target/surefire-reports/,{"maven-compiler-plugin": 0.47, "maven-resources-plugin": 0.445, "maven-surefire-plugin": 0.357, "maven-site-plugin": 0.262}
soot,.github/workflows/ci.yml,8,mvn -B clean test -PJava8,soot_ci-BuildAndTest_java_version_8.csv,target/surefire-reports/,{"maven-compiler-plugin": 0.47, "maven-resources-plugin": 0.445, "maven-surefire-plugin": 0.357, "maven-site-plugin": 0.262}
soot,.github/workflows/ci.yml,9,mvn -B clean test -PJava9,soot_ci-BuildAndTest_java_version_9.csv,target/surefire-reports/,{"maven-compiler-plugin": 0.47, "maven-resources-plugin": 0.445, "maven-surefire-plugin": 0.357, "maven-site-plugin": 0.262}
spring-framework-petclinic,.github/workflows/maven-build.yml,11,mvn -B package,spring-framework-petclinic_maven-build-build.csv,target/site/,{"maven-site-plugin": 1.0, "ro.isdc.wro4j#wro4j-maven-plugin": 0.279}
spring-framework-petclinic,.github/workflows/maven-build.yml,11,mvn -B package,spring-framework-petclinic_maven-build-build.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.334, "ro.isdc.wro4j#wro4j-maven-plugin": 0.279, "maven-site-plugin": 0.262}
spring-framework-petclinic,.github/workflows/maven-build.yml,11,mvn -B package,spring-framework-petclinic_maven-build-build.csv,target/.wro4j/,{"ro.isdc.wro4j#wro4j-maven-plugin": 0.577, "maven-site-plugin": 0.22}
spring-petclinic-rest,.github/workflows/maven-build.yml,11,mvn -B install,spring-petclinic-rest_maven-build-build.csv,target/site/,{"maven-site-plugin": 1.0, "org.codehaus.mojo#build-helper-maven-plugin": 0.335, "maven-failsafe-plugin": 0.206, "pl.project13.maven#git-commit-id-plugin": 0.202}
spring-petclinic-rest,.github/workflows/maven-build.yml,11,mvn -B install,spring-petclinic-rest_maven-build-build.csv,target/surefire-reports/,{"org.codehaus.mojo#build-helper-maven-plugin": 0.335, "maven-surefire-plugin": 0.327, "maven-site-plugin": 0.262, "maven-failsafe-plugin": 0.206, "pl.project13.maven#git-commit-id-plugin": 0.202}
symphony,.github/workflows/ci.yml,11,mvn install -Dmaven.javadoc.skip=true -B -V -Pci,symphony_ci-build.csv,target/symphony/,{"maven-jar-plugin": 0.457, "com.mycila#license-maven-plugin": 0.249, "maven-site-plugin": 0.235}
symphony,.github/workflows/ci.yml,11,mvn install -Dmaven.javadoc.skip=true -B -V -Pci,symphony_ci-build.csv,target/test-classes/,{"maven-surefire-plugin": 0.552, "maven-compiler-plugin": 0.511, "maven-resources-plugin": 0.411, "maven-site-plugin": 0.234}
